,Song,Year,IsSong,SongCategory,SoloEnsemble,Conductor,ACapella,Underrepresented,StOlafComposer,SongPlacement,"ACapella is true for any piece performed without tonal accompaniment- therefore piano is not a capella, but other percussion can be"
1,Timestamp,NA,0,NA,,,,,,,
2,IntendedMajor,NA,0,NA,,,,,,,
3,FirstFest,NA,0,NA,,,,,,,
4,Choir21,21,0,NA,,,,,,,
5,Voice21,21,0,NA,,,,,,,
6,Nimrod,21,1,ORCH,ORCH,SMA,2,0,0,Orch1,
7,DeepUnboundedDarkness,21,1,MASS,,JBOBB,1,0,1,Open_Mass,
8,CarolAdvent,21,1,MASS,,THEREES,0,0,0,Mass1.5,
9,GodisLove,21,1,HYMN,,SMA,0,0,1,Open_Hymn,
10,MountofOlives,21,1,MASS,,THEREES,0,0,0,Work_Mass,
11,Rachmoninov,21,1,SOLO,OLE,ANTON,1,0,0,OleChoir1,
12,LoHowARose,21,1,SOLO,VIK,TESFA,1,0,0,,
13,LlegaNavidad,21,1,SOLO,CAN,JBOBB,1,1,0,,**
14,HolyChild,21,1,SOLO,MNT,THEREES,0,0,1,,
15,SilentNight,21,1,SOLO,CHA,TESFA,1,0,0,,
16,GodsLoveMadeVisible,21,1,HYMN,,JBOBB,0,0,1,Gospel_Hymn,
17,GoodChristianFriendsRejoice,21,1,HYMN,,SMA,0,0,1,Gospel_Hymn,
18,ChristusNatusEst,21,1,MASS,,TESFA,0,1,0,Middle_Mass1,
19,TellOnMountain,21,1,SOLO,MNT,THEREES,0,1,0,,
20,LoveCameDown,21,1,SOLO,CAN,JBOBB,1,1,0,,Christina Rosetti
21,GodRestMerryGentlemen,21,1,SOLO,VIK,TESFA,0,1,0,,
22,InSilentNight,21,1,SOLO,OLE,ANTON,1,1,0,OleChoir2,
23,MaryBoyChile,21,1,SOLO,OLE,ANTON,0,1,0,OleChoir3,
24,Gloria2021,21,1,SOLO,CHA,TESFA,1,1,0,,
25,Past3Clock,21,1,MASS,,JBOBB,0,0,0,Middle_Mass2,
26,AngelsDance,21,1,ORCH,ORCH,SMA,2,0,1,Orch2,
27,CarolForChoirs,21,1,MED,,THEREES,1,0,1,Medley,
28,AngelHeardHigh,21,1,HYMN,,SMA,0,0,1,Third_Hymn,
29,PraiseLord,21,1,MASS,,ANTON,1,0,1,F_Mel,
30,LightDawns,21,1,MASS,,ANTON,0,0,0,Anton_Closer,
31,LoveDivine,21,1,HYMN,,SMA,0,0,1,Close_Hymn,
32,NuncDimittis,21,1,MASS,,TESFA,0,0,1,Sending,
33,BeautSav2021,21,1,MASS,,ANTON,1,0,1,BeautSav,
34,Comment2021,21,0,NA,,,,,,,
35,Choir22,22,0,NA,,,,,,,
36,Voice22,22,0,NA,,,,,,,
37,OrchNoel,22,1,ORCH,ORCH,PARK,2,0,0,Orch1,
38,HeartWorships,22,1,MASS,,JBOBB,0,0,0,Open_Mass,
39,AwakeGreetMorn,22,1,HYMN,,PARK,0,0,1,Open_Hymn,
40,AwakeHarp,22,1,MASS,,TESFA,1,0,0,Work_Mass,
41,SongofPeace,22,1,SOLO,OLE,ANTON,1,0,1,OleChoir1,
42,KeepYourLamps,22,1,SOLO,VIK,TESFA,1,1,0,,
43,WillMakeWay,22,1,SOLO,CHA,TESFA,0,0,0,,
44,DayPeace12,22,1,HYMN,,JBOBB,0,0,1,Gospel_Hymn,
45,EarthStrikeMusic,22,1,SOLO,CAN,JBOBB,0,1,0,,
46,HodieChristus22,22,1,SOLO,MNT,THEREES,0,1,0,,
47,LittleLightMine,22,1,SOLO,OLE,ANTON,1,1,0,OleChoir2,
48,CarolBells,22,1,SOLO,OLE,ANTON,1,0,0,OleChoir3,
49,SirChristemas,22,1,MASS,,THEREES,0,0,0,Middle_Mass1,
50,OvertureNutcracker22,22,1,ORCH,ORCH,PARK,2,1,0,Orch2,
51,CarolofStranger,22,1,MED,,JBOBB,1,1,1,Medley,
52,MidnightClear,22,1,HYMN,,PARK,0,0,0,Third_Hymn,
53,Psalm50,22,1,MASS,,ANTON,1,0,1,F_Mel,
54,DonaNobisPacem,22,1,MASS,,ANTON,0,0,0,Anton_Closer,
55,HarkHeraldAngels,22,1,HYMN,,PARK,0,0,1,Close_Hymn,
56,StayWithUs,22,1,MASS,,THEREES,1,0,0,Sending,
57,BeautSav2022,22,1,MASS,,ANTON,1,0,1,BeautSav,
58,Comment2022,22,0,NA,,,,,,,
59,Choir23,23,0,NA,,,,,,,
60,Voice23,23,0,NA,,,,,,,
61,DarkAwaitsDawn,23,1,MASS,,THEREES,0,0,1,Open_Mass,
62,RejoiceBelievers,23,1,HYMN,,PARK,0,0,1,Open_Hymn,
63,JauchzetFrohlocket,23,1,MASS,,THEREES,1,0,0,Work_Mass,
64,CordeNatus,23,1,SOLO,OLE,ANTON,1,0,0,OleChoir1,
65,OMagnumMysterium,23,1,SOLO,VIK,ADAM,1,1,0,,
66,HodieChristus23,23,1,SOLO,CAN,JBOBB,1,0,0,,
67,LoveHasCome,23,1,HYMN,,ADAM,0,0,0,Gospel_Hymn,
68,Gloria2023,23,1,SOLO,CHA,ADAM,1,0,0,,
69,OgoNiFumOluwa,23,1,SOLO,MNT,THEREES,1,1,0,,
70,SummerInWinter,23,1,SOLO,OLE,ANTON,1,0,1,OleChoir2,
71,HallelujahNewbornKing,23,1,SOLO,OLE,ANTON,1,1,0,OleChoir3,
72,InBleakMidwinter,23,1,MASS,,JBOBB,0,0,1,Middle_Mass1,
73,Winter_Night,23,1,ORCH,ORCH,PARK,2,0,0,Orch2,
74,LoveJoyComeYou,23,1,MED,,ADAM,0,0,1,Medley,
75,ChristianFriends,23,1,HYMN,,PARK,0,0,1,Third_Hymn,
76,Glorification,23,1,MASS,,ANTON,1,0,1,F_Mel,
77,WelcomeWonders,23,1,MASS,,ANTON,0,0,0,Anton_Closer,
78,JoytoWorld,23,1,HYMN,,PARK,0,0,1,Close_Hymn,
79,OHolyNight23,23,1,MASS,,JBOBB,1,0,0,Sending,
80,BeautSav2023,23,1,MASS,,ANTON,1,0,1,BeautSav,
81,Comment2023,23,0,NA,,,,,,,
82,FEEDBACK,NA,0,NA,,,,,,,
83,BeThouMyVision,NA,,,,,,,,,
84,Orch_LoHowARose,23,0,ORCH,ORCH,PARK,2,0,0,Orch1,
89,LullChelRose,24,0,ORCH,ORCH,PARK,2,1,0,Orch1,
90,ClimbTopMount,24,1,MASS,,THEREES,0,1,1,Open_Mass,
91,HarkThrill,24,1,HYMN,,,0,0,1,Open_Hymn,
92,LiftUpHeads,24,1,MASS,,JBOBB,0,0,0,Work_Mass,
93,SingNowellGloria,24,1,SOLO,OLE,ANTON,1,0,1,OleChoir1,
94,Love.and.Joy.Come.to.You.pt.3...Be.Thou.my.Vision......2,NA,1,NA,,,,,,,
95,EitBarnFodt,24,1,SOLO,CAN,JBOBB,0,0,0,,
96,AngelHeard24,24,1,HYMN,,PAOLO,0,0,1,Gospel_Hymn,
97,SingNowXMas,24,1,SOLO,MNT,THEREES,0,0,0,,
98,SleepJesusSleep,24,1,SOLO,CHA,PAOLO,0,1,0,,
99,OLittleTown,24,1,SOLO,OLE,ANTON,1,0,1,OleChoir2,
100,DingDongMerry,24,1,SOLO,OLE,ANTON,1,1,1,OleChoir3,
101,Gloria24,24,1,MASS,,THEREES,0,0,0,Middle_Mass1,
102,BurtCarols,24,1,MED,,PAOLO,1,1,1,Medley,
103,JegErSaGlad,24,1,HYMN,,PARK,0,0,1,Third_Hymn,
104,DayFullGrace,24,1,MASS,,ANTON,1,0,1,F_Mel,
105,WindsHope,24,1,MASS,,ANTON,0,0,1,Anton_Closer,
106,GodHelpAgesPast,24,1,HYMN,,PARK,0,0,1,Close_Hymn,
107,OHolyNight24,24,1,MASS,,JBOBB,0,0,0,Sending,
108,Our.Hope.for.Years.to.Come.pt.2...Row.7.,NA,1,NA,,,,,,,
109,Voice24,24,1,NA,,NA,,,,,
110,BeautSav2024,24,1,MASS,,NA,1,0,1,BeautSav,
111,FirstNoel,24,1,SOLO,VIK,PAOLO,0,0,0,,
112,OvertureNutcracker24,24,0,ORCH,ORCH,PARK,2,1,0,Orch2,